name,layer,kind,independently_selectable,install_or_access_method,in_current_installer_gui,source_url,notes
PostHog,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/posthog/convex,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Bright Data,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/sholajegede/convex-bright-data,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Bright Data Datasets,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/sholajegede/convex-bright-data-datasets,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Sprout Analytics,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/sprout-convex/analytics,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Steel Browser,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/steel-dev,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Basic Blog,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/basic-blog-convex-blog-cms,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Convalytics,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convalytics-dev,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
AWS SES,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convex-aws-ses,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Youtube Cache,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convex-youtube-cache,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Agentmail,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/agentmail/convex,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
AutoSend,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/autosend/convex,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Sweego,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/christian-ek/sweego,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Expo Push Notifications,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/push-notifications,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Resend,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/resend,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Twilio SMS,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/twilio,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Email SDK,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/opencoredev/convex-email,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
useSend,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/pulgueta/usesend-convex,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
iMessage (Photon),Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/spectrum-ts/convex,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Email Queue,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/vllnt/convex-email,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Notifications Inbox,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/vllnt/convex-notifications,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Suppression List,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/vllnt/convex-suppression,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Brevo,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convex-brevo,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Chat,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convex-chat,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
ClawdBot Message Hub,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convex-clawdbot-hub,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Lettermint,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convex-lettermint,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Notification,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convex-notification,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Telegram Bot,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convex-telegram,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Adyen Payments,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/abdssamie/adyen-payments,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Polar,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/polar,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Stripe,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/stripe,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Creem,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/mmailaender/convex-creem,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Dodo Payments,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/dodopayments,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
ePayco,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/pulgueta/epayco-convex,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Autumn,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/autumn,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Usage Metering,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/vllnt/convex-metering,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Wallet & Ledger,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/vllnt/convex-wallet,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Kinde Billing,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convex-kinde-billing,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
OxaPay,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convex-oxapay,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
RevenueCat,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/ramonclaudio-convex-revenuecat,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Cloudflare R2,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/cloudflare-r2,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Files Control,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/files-control,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Convex S3,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/hasoo/convex-s3,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Cloudinary,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/imaxis/cloudinary-convex,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Mux,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/mux/convex,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
UploadThing,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/mzedstudio/uploadthingtrack,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Transloadit,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/transloadit/convex,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Convex Bunny Storage,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convex-bunny,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
ConvexFS,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convex-fs,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Convex Secret Store,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convex-secret-store,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
